Date,Open,High,Low,Close,Adj Close,Volume
1/7/2005,54.209999,54.700001,53.43,53.43,41.768665,6300
1/10/2005,53.959999,54.889999,53.889999,53.889999,42.128273,4300
1/11/2005,53.950001,54.700001,53.52,54.700001,42.761486,5300
1/12/2005,53.529999,54.34,53.450001,54.34,42.480045,5800
1/13/2005,54.02,54.5,53.189999,53.349998,41.706123,11900
1/14/2005,53.200001,54.18,53.200001,53.59,41.893726,5400
1/18/2005,53.5,54.200001,52.950001,54.200001,42.370598,25200
1/19/2005,54.25,54.419998,53.310001,53.439999,41.776497,10000
1/20/2005,53.110001,54.459999,53.110001,54.32,42.464413,6900
1/21/2005,54.5,54.5,53.23,53.799999,42.057888,3600
1/24/2005,53.32,54.029999,53.32,53.810001,42.065727,3600
1/25/2005,54.5,54.5,53.599998,53.599998,41.901543,3900
1/26/2005,53.560001,54.5,53.560001,54.459999,42.573853,1400
1/27/2005,53.48,54.450001,53.48,54.099998,42.292439,6500
1/28/2005,54.5,54.5,53.75,53.75,42.018814,3800
1/31/2005,53.310001,53.860001,53.279999,53.580002,41.885921,5600
2/1/2005,53.580002,54,53.580002,53.93,42.159538,7100
2/2/2005,54,54,53.849998,54,42.214256,3600
2/3/2005,54.5,54.5,53.66,54.25,42.409683,6300
2/4/2005,54.25,54.25,54.150002,54.25,42.409683,8500
2/7/2005,53.900002,54.25,53.900002,53.950001,42.175148,7600
2/8/2005,54.529999,54.91,53.990002,54.889999,42.910011,11200
2/9/2005,53.75,54.889999,53.75,53.82,42.266033,5000
2/10/2005,53.529999,54.59,53.529999,53.77,42.226791,4300
2/11/2005,53.529999,54.849998,53.509998,54.450001,42.760799,10200
2/14/2005,54.400002,54.709999,53.700001,54.43,42.745075,10200
2/15/2005,54.689999,54.689999,53.639999,54.09,42.478092,19200
2/16/2005,54.57,54.880001,53.990002,54.630001,42.902153,12200
2/17/2005,53.959999,54.639999,53.959999,54.200001,42.564457,10300
2/18/2005,53.849998,54.209999,53.59,53.619999,42.108974,13700
2/22/2005,54.080002,54.080002,53.169998,53.470001,41.991184,10100
2/23/2005,53.650002,53.650002,53.07,53.279999,41.841976,3400
2/24/2005,53,53.029999,52.549999,53.02,41.637783,7900
2/25/2005,52.32,53.560001,52.32,53.279999,41.841976,13100
2/28/2005,52.68,53.619999,52.68,53.619999,42.108974,17000
3/1/2005,53.150002,53.990002,53.150002,53.990002,42.399544,7300
3/2/2005,53.32,53.900002,53.32,53.5,42.014729,4200
3/3/2005,53.970001,53.970001,53.23,53.540001,42.046143,700
3/4/2005,53.540001,53.540001,53.540001,53.540001,42.046143,0
3/7/2005,54,54.25,53.080002,53.82,42.266033,15600
3/8/2005,53.650002,53.650002,52.75,52.84,41.496433,8700
3/9/2005,53.689999,53.689999,52.77,53.25,41.818401,4300
